weight_t,weight_value,airflow_t,airflow_value
115.6652778,311.7990112,157.0525,186.582077
116.0375,311.5987244,157.3025,186.9277954
116.2802778,311.9849854,157.5525,186.582077
116.3580556,311.8848267,158.0522222,189.443161
116.7233333,312.056488,158.3022222,189.4550781
116.8344444,311.8276062,159.0522222,186.2959747
117.1705556,312.170929,159.3022222,186.9277954
117.2455556,312.8862,159.5519444,190.5518036
117.2497222,311.8848267,159.8019444,189.3119965
117.8483333,312.2281494,160.0519444,184.1382446
118.1258333,312.2138672,160.3019444,188.417923
118.4994444,312.7288513,160.5519444,185.914505
118.5397222,310.4256592,160.8019444,188.0722046
118.6952778,310.7976379,161.0519444,189.4908447
118.7425,310.683197,161.3016667,188.0960388
119.1175,312.3569336,161.5516667,187.368866
119.4536111,311.8562317,161.8016667,188.8113098
119.7602778,311.5987244,162.0516667,188.0602875
119.9672222,311.9420471,162.3016667,187.0231628
120.0297222,311.784668,162.5513889,185.9621887
120.3977778,311.784668,162.8013889,187.3569489
120.5727778,311.6559448,163.0513889,187.3569489
121.0630556,312.2997131,163.3013889,188.4298401
121.0936111,311.8991089,163.5513889,186.2959747
121.2058333,311.6702271,163.8013889,188.0722046
121.5794444,311.9563904,164.0513889,187.5596008
121.6822222,311.5271606,164.5511111,188.7755585
122.0475,311.6559448,164.8011111,190.2776184
122.475,311.7990112,165.0511111,187.7145691
122.6333333,311.7274475,165.3011111,189.1450958
122.7375,311.7274475,165.5511111,185.9383392
123.0875,311.8132629,166.0508333,188.7874756
123.2541667,311.7131653,166.3008333,188.4894562
123.5319444,311.6702271,166.5508333,187.7145691
123.8541667,303.5591431,166.8008333,188.215271
124.2455556,303.9453735,167.0508333,189.4908447
124.2719444,303.8738708,167.5505556,187.3450317
124.4205556,304.7464905,167.8005556,188.7397919
124.4802778,303.673584,168.3005556,187.702652
124.9219444,303.8023376,168.5505556,187.702652
125.2233333,303.6592712,168.8005556,185.2588196
125.3816667,305.3043823,169.3002778,188.4060059
125.7927778,303.8881531,169.5502778,188.4060059
126.0063889,303.8023376,169.8002778,189.4908447
126.0077778,304.4031677,170.0502778,186.9873962
126.0313889,303.7022095,170.3002778,188.0841217
126.5258333,303.8738708,170.55,189.6696472
126.6744444,303.8595581,170.8,188.4060059
126.6980556,304.2887268,171.05,187.3330994
127.4133333,304.1027527,171.55,188.2987213
127.4855556,304.1313477,171.8,188.7159424
127.5686111,303.7880249,172.05,189.4312286
127.6019444,304.388855,172.2997222,188.7397919
128.1963889,304.2744141,172.5497222,189.4669952
